t = 0 | out = 00000000 | in = 00000000 | enable = 0 | load = 0 | rst = 1
t = 11000 | out = 00000000 | in = 00000000 | enable = 0 | load = 0 | rst = 0
t = 21000 | out = 00000000 | in = 00000000 | enable = 1 | load = 0 | rst = 0
t = 25000 | out = 00000001 | in = 00000000 | enable = 1 | load = 0 | rst = 0
t = 35000 | out = 00000010 | in = 00000000 | enable = 1 | load = 0 | rst = 0
t = 45000 | out = 00000011 | in = 00000000 | enable = 1 | load = 0 | rst = 0
t = 51000 | out = 00000011 | in = 00000000 | enable = 0 | load = 0 | rst = 0
t = 71000 | out = 00000011 | in = 01010101 | enable = 0 | load = 1 | rst = 0
t = 75000 | out = 01010101 | in = 01010101 | enable = 0 | load = 1 | rst = 0
t = 81000 | out = 01010101 | in = 01010101 | enable = 0 | load = 0 | rst = 0
t = 91000 | out = 01010101 | in = 01010101 | enable = 1 | load = 0 | rst = 0
t = 95000 | out = 01010110 | in = 01010101 | enable = 1 | load = 0 | rst = 0
t = 105000 | out = 01010111 | in = 01010101 | enable = 1 | load = 0 | rst = 0
t = 111000 | out = 01010111 | in = 10100000 | enable = 1 | load = 1 | rst = 0
t = 115000 | out = 10100000 | in = 10100000 | enable = 1 | load = 1 | rst = 0
t = 121000 | out = 10100000 | in = 10100000 | enable = 1 | load = 0 | rst = 0
t = 125000 | out = 10100001 | in = 10100000 | enable = 1 | load = 0 | rst = 0
t = 135000 | out = 10100010 | in = 10100000 | enable = 1 | load = 0 | rst = 0
t = 141000 | out = 10100010 | in = 11111111 | enable = 1 | load = 1 | rst = 0
t = 145000 | out = 11111111 | in = 11111111 | enable = 1 | load = 1 | rst = 0
t = 151000 | out = 11111111 | in = 11111111 | enable = 1 | load = 0 | rst = 0
t = 155000 | out = 00000000 | in = 11111111 | enable = 1 | load = 0 | rst = 0
t = 165000 | out = 00000001 | in = 11111111 | enable = 1 | load = 0 | rst = 0
