VCD info: dumpfile Sim.vcd opened for output.
t = 0 | rst = 1 | clear = 0 | out = 0 (000)
t = 11000 | rst = 0 | clear = 0 | out = 0 (000)
t = 15000 | rst = 0 | clear = 0 | out = 1 (001)
t = 25000 | rst = 0 | clear = 0 | out = 2 (010)
t = 35000 | rst = 0 | clear = 0 | out = 3 (011)
t = 45000 | rst = 0 | clear = 0 | out = 4 (100)
t = 55000 | rst = 0 | clear = 0 | out = 5 (101)
t = 61000 | rst = 0 | clear = 1 | out = 5 (101)
t = 65000 | rst = 0 | clear = 1 | out = 0 (000)
t = 71000 | rst = 0 | clear = 0 | out = 0 (000)
t = 75000 | rst = 0 | clear = 0 | out = 1 (001)
t = 85000 | rst = 0 | clear = 0 | out = 2 (010)
t = 95000 | rst = 0 | clear = 0 | out = 3 (011)
t = 105000 | rst = 0 | clear = 0 | out = 4 (100)
t = 115000 | rst = 0 | clear = 0 | out = 5 (101)
t = 125000 | rst = 0 | clear = 0 | out = 6 (110)
t = 135000 | rst = 0 | clear = 0 | out = 7 (111)
t = 145000 | rst = 0 | clear = 0 | out = 0 (000)
t = 155000 | rst = 0 | clear = 0 | out = 1 (001)
t = 161000 | rst = 0 | clear = 1 | out = 1 (001)
t = 165000 | rst = 0 | clear = 1 | out = 0 (000)
t = 171000 | rst = 0 | clear = 0 | out = 0 (000)
t = 175000 | rst = 0 | clear = 0 | out = 1 (001)
t = 185000 | rst = 0 | clear = 0 | out = 2 (010)
t = 195000 | rst = 0 | clear = 0 | out = 3 (011)
t = 201000 | rst = 1 | clear = 0 | out = 0 (000)
t = 211000 | rst = 0 | clear = 0 | out = 0 (000)
t = 215000 | rst = 0 | clear = 0 | out = 1 (001)
t = 225000 | rst = 0 | clear = 0 | out = 2 (010)
t = 235000 | rst = 0 | clear = 0 | out = 3 (011)
t = 245000 | rst = 0 | clear = 0 | out = 4 (100)
Simulation Complete!
TC_tb.v:106: $finish called at 246000 (1ps)
